TIME Î¼s, IN1, IN2, MATH
999.906, -2.853853, 2.651665, -2.746866
997.953, -2.837967, 2.651665, -2.738923
996, -2.794641, 2.651665, -2.71726
994.047, -2.767201, 2.651665, -2.70354
992.094, -2.73254, 2.651665, -2.686209
990.141, -2.702212, 2.653109, -2.671767
988.188, -2.676217, 2.653109, -2.65877
986.235, -2.625669, 2.653109, -2.633496
984.282, -2.598229, 2.653109, -2.619776
982.33, -2.567901, 2.653109, -2.604612
980.377, -2.540461, 2.653109, -2.590892
978.424, -2.508689, 2.654553, -2.575728
976.471, -2.478361, 2.655998, -2.561286
974.518, -2.429258, 2.654553, -2.536012
972.565, -2.403262, 2.654553, -2.523015
970.612, -2.37149, 2.654553, -2.507128
968.659, -2.341161, 2.655998, -2.492687
966.706, -2.31661, 2.655998, -2.480411
964.753, -2.264619, 2.655998, -2.454415
962.8, -2.241512, 2.657442, -2.443583
960.847, -2.211183, 2.658886, -2.429141
958.894, -2.188076, 2.657442, -2.416866
956.941, -2.159192, 2.654553, -2.40098
954.988, -2.125975, 2.655998, -2.385093
953.035, -2.081205, 2.655998, -2.362708
951.082, -2.059542, 2.657442, -2.352598
949.13, -2.029214, 2.655998, -2.336713
947.177, -2.001774, 2.654553, -2.322271
945.224, -1.975778, 2.655998, -2.309995
943.271, -1.925231, 2.657442, -2.285443
941.318, -1.90068, 2.658886, -2.27389
939.365, -1.867463, 2.66033, -2.258003
937.412, -1.8458, 2.658886, -2.24645
935.459, -1.821249, 2.657442, -2.233452
933.506, -1.780811, 2.661774, -2.2154
931.553, -1.743262, 2.658886, -2.195181
929.6, -1.724487, 2.66033, -2.186515
927.647, -1.689826, 2.66033, -2.169185
925.694, -1.662386, 2.658886, -2.154743
923.741, -1.640723, 2.66033, -2.144634
921.788, -1.587288, 2.661774, -2.118638
919.835, -1.564181, 2.661774, -2.107084
917.882, -1.530964, 2.663218, -2.091198
915.93, -1.509301, 2.664663, -2.081089
913.977, -1.489082, 2.663218, -2.070257
912.024, -1.448644, 2.664663, -2.050761
910.071, -1.412539, 2.66033, -2.030541
908.118, -1.387988, 2.658886, -2.017544
906.165, -1.35766, 2.661774, -2.003824
904.212, -1.334553, 2.663218, -1.992992
902.259, -1.305668, 2.666107, -1.979994
900.306, -1.25801, 2.664663, -1.955443
898.353, -1.236347, 2.667551, -1.946056
896.4, -1.204574, 2.667551, -1.930169
894.447, -1.181467, 2.671884, -1.920782
892.494, -1.155471, 2.67044, -1.907062
890.541, -1.119366, 2.671884, -1.889732
888.588, -1.077484, 2.67044, -1.868069
886.635, -1.05871, 2.674772, -1.860848
884.682, -1.028382, 2.674772, -1.845684
882.73, -1.000942, 2.673328, -1.831241
880.777, -0.974946, 2.674772, -1.818966
878.824, -0.922955, 2.676217, -1.793692
876.871, -0.90418, 2.676217, -1.784305
874.918, -0.872408, 2.676217, -1.768419
872.965, -0.852189, 2.676217, -1.758309
871.012, -0.824749, 2.676217, -1.744589
869.059, -0.785756, 2.677661, -1.725815
867.106, -0.751095, 2.677661, -1.708484
865.153, -0.730876, 2.674772, -1.696931
863.2, -0.703436, 2.676217, -1.683933
861.247, -0.675996, 2.676217, -1.670213
859.294, -0.655777, 2.677661, -1.660826
857.341, -0.602342, 2.676217, -1.633386
855.388, -0.589344, 2.676217, -1.626887
853.435, -0.557572, 2.677661, -1.611723
851.482, -0.534464, 2.679105, -1.600891
849.53, -0.508469, 2.677661, -1.587171
847.577, -0.472364, 2.676217, -1.568397
845.624, -0.439147, 2.677661, -1.55251
843.671, -0.41604, 2.677661, -1.540957
841.718, -0.394377, 2.676217, -1.529403
839.765, -0.362604, 2.676217, -1.513517
837.812, -0.335164, 2.677661, -1.500519
835.859, -0.294727, 2.677661, -1.4803
833.906, -0.274508, 2.677661, -1.470191
831.953, -0.242735, 2.679105, -1.455027
830, -0.221072, 2.680549, -1.444917
828.047, -0.195077, 2.679105, -1.431198
826.094, -0.154639, 2.677661, -1.410257
824.141, -0.132976, 2.674772, -1.397981
822.188, -0.112757, 2.676217, -1.388594
820.235, -0.096871, 2.674772, -1.379928
818.282, -0.065099, 2.674772, -1.364042
816.33, -0.039103, 2.674772, -1.351044
814.377, 0.008556, 2.674772, -1.327215
812.424, 0.02733, 2.674772, -1.317828
810.471, 0.053326, 2.676217, -1.305552
808.518, 0.077878, 2.676217, -1.293276
806.565, 0.108206, 2.677661, -1.278834
804.612, 0.150088, 2.677661, -1.257893
802.659, 0.178972, 2.680549, -1.244895
800.706, 0.206412, 2.683437, -1.23262
798.753, 0.22663, 2.681993, -1.221788
796.8, 0.258403, 2.68777, -1.20879
794.847, 0.290175, 2.690658, -1.194348
792.894, 0.33639, 2.692103, -1.171963
790.941, 0.35372, 2.694991, -1.164742
788.988, 0.38116, 2.696435, -1.151744
787.035, 0.4086, 2.696435, -1.138024
785.082, 0.433151, 2.699324, -1.127193
783.13, 0.48081, 2.699324, -1.103364
781.177, 0.506806, 2.699324, -1.090366
779.224, 0.532801, 2.699324, -1.077368
777.271, 0.551576, 2.69788, -1.067258
775.318, 0.581904, 2.699324, -1.052817
773.365, 0.610788, 2.700768, -1.039097
771.412, 0.65267, 2.699324, -1.017434
769.459, 0.67, 2.69788, -1.008046
767.506, 0.691664, 2.69788, -0.997215
765.553, 0.720548, 2.699324, -0.983495
763.6, 0.740766, 2.699324, -0.973385
761.647, 0.788425, 2.699324, -0.949556
759.694, 0.808644, 2.699324, -0.939447
757.741, 0.830307, 2.69788, -0.927893
755.788, 0.850526, 2.699324, -0.918506
753.835, 0.880854, 2.699324, -0.903342
751.882, 0.909738, 2.699324, -0.8889
749.929, 0.950176, 2.699324, -0.868681
747.977, 0.96895, 2.69788, -0.858571
746.024, 0.990613, 2.700768, -0.849184
744.071, 1.019498, 2.699324, -0.83402
742.118, 1.042605, 2.700768, -0.823188
740.165, 1.090263, 2.702212, -0.800081
738.212, 1.110482, 2.700768, -0.78925
736.259, 1.133589, 2.699324, -0.776974
734.306, 1.15092, 2.700768, -0.769031
732.353, 1.179804, 2.700768, -0.754589
730.4, 1.210132, 2.699324, -0.738703
728.447, 1.247681, 2.700768, -0.72065
726.494, 1.2679, 2.700768, -0.710541
724.541, 1.289563, 2.699324, -0.698987
722.588, 1.321336, 2.700768, -0.683823
720.635, 1.342999, 2.703656, -0.674435
718.682, 1.392102, 2.7051, -0.650606
716.729, 1.412321, 2.707989, -0.641941
714.777, 1.436872, 2.706545, -0.628943
712.824, 1.458535, 2.709433, -0.619556
710.871, 1.484531, 2.712322, -0.608002
708.918, 1.519192, 2.713766, -0.591394
706.965, 1.559629, 2.71521, -0.571897
705.012, 1.585625, 2.716654, -0.559621
703.059, 1.598623, 2.718098, -0.553845
701.106, 1.630395, 2.719543, -0.53868
699.153, 1.653502, 2.722431, -0.528571
697.2, 1.702605, 2.723875, -0.504742
695.247, 1.722824, 2.723875, -0.494632
693.294, 1.750264, 2.722431, -0.48019
691.341, 1.769039, 2.723875, -0.471525
689.388, 1.79359, 2.723875, -0.459249
687.435, 1.826807, 2.725319, -0.443363
685.482, 1.862912, 2.725319, -0.42531
683.529, 1.888907, 2.726764, -0.413035
681.577, 1.904794, 2.725319, -0.40437
679.624, 1.935122, 2.726764, -0.389928
677.671, 1.961117, 2.726764, -0.37693
675.718, 2.007332, 2.729652, -0.355267
673.765, 2.024662, 2.73254, -0.348046
671.812, 2.052102, 2.731096, -0.333604
669.859, 2.070877, 2.731096, -0.324216
667.906, 2.096873, 2.735429, -0.313385
665.953, 2.132977, 2.735429, -0.295332
664, 2.166194, 2.735429, -0.278724
662.047, 2.189301, 2.74265, -0.270781
660.094, 2.206632, 2.74265, -0.262116
658.141, 2.23696, 2.746982, -0.249118
656.188, 2.261512, 2.746982, -0.236842
654.235, 2.307726, 2.748427, -0.214457
652.282, 2.326501, 2.748427, -0.20507
650.329, 2.352496, 2.749871, -0.192794
648.377, 2.375603, 2.749871, -0.18124
646.424, 2.394378, 2.748427, -0.171131
644.471, 2.430483, 2.751315, -0.154522
642.518, 2.460811, 2.755647, -0.141525
640.565, 2.483919, 2.754203, -0.129249
638.612, 2.499805, 2.75998, -0.124194
636.659, 2.531578, 2.764313, -0.110474
634.706, 2.553241, 2.768646, -0.101809
632.753, 2.603788, 2.772978, -0.078702
630.8, 2.619674, 2.772978, -0.070759
628.847, 2.648558, 2.780199, -0.059927
626.894, 2.674554, 2.78742, -0.05054
624.941, 2.694772, 2.791753, -0.042597
622.988, 2.736654, 2.800418, -0.025988
621.035, 2.751096, 2.807639, -0.022378
619.082, 2.79009, 2.822081, -0.010102
617.129, 2.808864, 2.835079, -0.007214
615.177, 2.840637, 2.853853, -0.000715
613.224, 2.865188, 2.874072, 0.001451
611.271, 2.909959, 2.917398, 0.002174
609.318, 2.930177, 2.937617, 0.002173
607.365, 2.950396, 2.963613, -0.000715
605.412, 2.976392, 2.992497, -0.002159
603.459, 2.998055, 3.017048, -0.003603
601.506, 3.039937, 3.056042, -0.002159
599.553, 3.052935, 3.076261, -0.00577
597.6, 3.090484, 3.119586, -0.008658
595.647, 3.107814, 3.138361, -0.00938
593.694, 3.138142, 3.168689, -0.00938
591.741, 3.162694, 3.197574, -0.011547
589.788, 3.208908, 3.243788, -0.011547
587.835, 3.230571, 3.264007, -0.010824
585.882, 3.252234, 3.288558, -0.012269
583.929, 3.276786, 3.321775, -0.016601
581.977, 3.298449, 3.346326, -0.018045
580.024, 3.344663, 3.386764, -0.015157
578.071, 3.359105, 3.405539, -0.017323
576.118, 3.39521, 3.450309, -0.021656
574.165, 3.412541, 3.466195, -0.020934
572.212, 3.444313, 3.5023, -0.0231
570.259, 3.471753, 3.531184, -0.023822
568.306, 3.489084, 3.552847, -0.025989
566.353, 3.530965, 3.600506, -0.028877
564.4, 3.554073, 3.622169, -0.028155
562.447, 3.580068, 3.652497, -0.030321
560.494, 3.603175, 3.679937, -0.032488
558.541, 3.642169, 3.718931, -0.032488
556.588, 3.658055, 3.733372, -0.031765
554.635, 3.692716, 3.775254, -0.035376
552.682, 3.707158, 3.789696, -0.035376
550.729, 3.738931, 3.822913, -0.036098
548.777, 3.764926, 3.850353, -0.03682
546.824, 3.782257, 3.869128, -0.037542
544.871, 3.829915, 3.924007, -0.041153
542.918, 3.850134, 3.942782, -0.040431
540.965, 3.880462, 3.974554, -0.041153
539.012, 3.899237, 3.999106, -0.044041
537.059, 3.922344, 4.020769, -0.043319
535.106, 3.959893, 4.061206, -0.044763
533.153, 3.991666, 4.1002, -0.048374
531.2, 4.01044, 4.118975, -0.048374
529.247, 4.040769, 4.149302, -0.048373
527.294, 4.072541, 4.181075, -0.048374
525.341, 4.085539, 4.196961, -0.049818
523.388, 4.13031, 4.247509, -0.052706
521.435, 4.150528, 4.267727, -0.052706
519.482, 4.182301, 4.298056, -0.051984
517.529, 4.203964, 4.324051, -0.05415
515.577, 4.227071, 4.345714, -0.053428
513.624, 4.261732, 4.383264, -0.054872
511.671, 4.293504, 4.422257, -0.058483
509.718, 4.309391, 4.436699, -0.057761
507.765, 4.339719, 4.468472, -0.058483
505.812, 4.371491, 4.4988, -0.057761
503.859, 4.385933, 4.513242, -0.057761
501.906, 4.432148, 4.566678, -0.061372
499.953, 4.44659, 4.584008, -0.062815
498, 4.416262, 4.550791, -0.061371
496.047, 4.368603, 4.506021, -0.062816
494.094, 4.342607, 4.481469, -0.063538
492.141, 4.322388, 4.458362, -0.062093
490.188, 4.286283, 4.428034, -0.064982
488.235, 4.242957, 4.38182, -0.063538
486.282, 4.206852, 4.345714, -0.063538
484.329, 4.183745, 4.324051, -0.06426
482.377, 4.144752, 4.282169, -0.062816
480.424, 4.13031, 4.267727, -0.062815
478.471, 4.081206, 4.221513, -0.06426
476.518, 4.050878, 4.188296, -0.062816
474.565, 4.011885, 4.14497, -0.060649
472.612, 3.984445, 4.120419, -0.062094
470.659, 3.964226, 4.097311, -0.060649
468.706, 3.933898, 4.068428, -0.061371
466.753, 3.890572, 4.025102, -0.061371
464.8, 3.855911, 3.990441, -0.061371
462.847, 3.83136, 3.968777, -0.062816
460.894, 3.792366, 3.931228, -0.063538
458.941, 3.775036, 3.915342, -0.06426
456.988, 3.731709, 3.866239, -0.061371
455.035, 3.699937, 3.831578, -0.059927
453.082, 3.659499, 3.794029, -0.061371
451.129, 3.636392, 3.769478, -0.06065
449.177, 3.617618, 3.749259, -0.059927
447.224, 3.587289, 3.718931, -0.059927
445.271, 3.541075, 3.675604, -0.061371
443.318, 3.506414, 3.639499, -0.06065
441.365, 3.484751, 3.620725, -0.062094
439.412, 3.45009, 3.58462, -0.061371
437.459, 3.428427, 3.564401, -0.062094
435.506, 3.386545, 3.523963, -0.062816
433.553, 3.359105, 3.490746, -0.059927
431.6, 3.331666, 3.466195, -0.061371
429.647, 3.294116, 3.428646, -0.061372
427.694, 3.279674, 3.411315, -0.059927
425.741, 3.242125, 3.376655, -0.061371
423.788, 3.203131, 3.336217, -0.060649
421.835, 3.164138, 3.301556, -0.062816
419.882, 3.145364, 3.279893, -0.061371
417.929, 3.113591, 3.245232, -0.059927
415.977, 3.093372, 3.226457, -0.060649
414.024, 3.048602, 3.183131, -0.061371
412.071, 3.021162, 3.154247, -0.060649
410.118, 2.993722, 3.13114, -0.062816
408.165, 2.953285, 3.090703, -0.062816
406.212, 2.941731, 3.070484, -0.058483
404.259, 2.89696, 3.035823, -0.063538
402.306, 2.863744, 2.998274, -0.061371
400.353, 2.829083, 2.962169, -0.06065
398.4, 2.808864, 2.943394, -0.061371
396.447, 2.778536, 2.908733, -0.059205
394.494, 2.756873, 2.889958, -0.06065
392.541, 2.712103, 2.848076, -0.062094
390.588, 2.687551, 2.824969, -0.062816
388.635, 2.665888, 2.800418, -0.061371
386.682, 2.625451, 2.771534, -0.067148
384.729, 2.606676, 2.757092, -0.069315
382.777, 2.570571, 2.735429, -0.076536
380.824, 2.538798, 2.723875, -0.086645
378.871, 2.512803, 2.713766, -0.094588
376.918, 2.48103, 2.707989, -0.107586
374.965, 2.45359, 2.702212, -0.118418
373.012, 2.431927, 2.69788, -0.127083
371.059, 2.39149, 2.686326, -0.141525
369.106, 2.365494, 2.683437, -0.153078
367.153, 2.343831, 2.680549, -0.162466
365.2, 2.306282, 2.679105, -0.180518
363.247, 2.294728, 2.679105, -0.186295
361.294, 2.249958, 2.677661, -0.207958
359.341, 2.21963, 2.676217, -0.2224
357.388, 2.199411, 2.676217, -0.23251
355.435, 2.163306, 2.673328, -0.249118
353.482, 2.135866, 2.674772, -0.26356
351.529, 2.10987, 2.671884, -0.275113
349.577, 2.072321, 2.67044, -0.293166
347.624, 2.052102, 2.674772, -0.305442
345.671, 2.026107, 2.674772, -0.318439
343.718, 1.99289, 2.676217, -0.33577
341.765, 1.979892, 2.676217, -0.342269
339.812, 1.939454, 2.673328, -0.361044
337.859, 1.904794, 2.674772, -0.379096
335.906, 1.884575, 2.674772, -0.389205
333.953, 1.849914, 2.673328, -0.405814
332, 1.822474, 2.67044, -0.41809
330.047, 1.799367, 2.668995, -0.428921
328.094, 1.756041, 2.666107, -0.44914
326.141, 1.735822, 2.661774, -0.457083
324.188, 1.706938, 2.664663, -0.472969
322.235, 1.6665, 2.661774, -0.491744
320.282, 1.653502, 2.661774, -0.498243
318.329, 1.61162, 2.658886, -0.517739
316.377, 1.578404, 2.658886, -0.534348
314.424, 1.555297, 2.657442, -0.545179
312.471, 1.523524, 2.655998, -0.560344
310.518, 1.498973, 2.655998, -0.572619
308.565, 1.474421, 2.654553, -0.584173
306.612, 1.433984, 2.654553, -0.604392
304.659, 1.412321, 2.654553, -0.615223
302.706, 1.389213, 2.655998, -0.627499
300.753, 1.351664, 2.655998, -0.646273
298.8, 1.338666, 2.658886, -0.654217
296.847, 1.298229, 2.657442, -0.673713
294.894, 1.280898, 2.657442, -0.682378
292.941, 1.244793, 2.657442, -0.700431
290.988, 1.213021, 2.658886, -0.717039
289.035, 1.191358, 2.655998, -0.726427
287.082, 1.165362, 2.657442, -0.740147
285.129, 1.12348, 2.654553, -0.759643
283.177, 1.104705, 2.655998, -0.769753
281.224, 1.077266, 2.657442, -0.784195
279.271, 1.042605, 2.657442, -0.801525
277.318, 1.029607, 2.658886, -0.808746
275.365, 0.989169, 2.655998, -0.827521
273.412, 0.971839, 2.655998, -0.836186
271.459, 0.938622, 2.655998, -0.852794
269.506, 0.903961, 2.658886, -0.871569
267.553, 0.882298, 2.655998, -0.880956
265.6, 0.856303, 2.655998, -0.893954
263.647, 0.820198, 2.657442, -0.912729
261.694, 0.79709, 2.657442, -0.924282
259.741, 0.768206, 2.655998, -0.938002
257.788, 0.742211, 2.661774, -0.953889
255.835, 0.733545, 2.661774, -0.958221
253.882, 0.690219, 2.658886, -0.97844
251.929, 0.668556, 2.661774, -0.990716
249.977, 0.638228, 2.663218, -1.006602
248.024, 0.603567, 2.666107, -1.025377
246.071, 0.586237, 2.664663, -1.03332
244.118, 0.555909, 2.663218, -1.047762
242.165, 0.537134, 2.661774, -1.056427
240.212, 0.493808, 2.661774, -1.07809
238.259, 0.466368, 2.661774, -1.09181
236.306, 0.433151, 2.663218, -1.10914
234.353, 0.420153, 2.66033, -1.114195
232.4, 0.376827, 2.658886, -1.135136
230.447, 0.359497, 2.657442, -1.143079
228.494, 0.323392, 2.657442, -1.161132
226.541, 0.290175, 2.658886, -1.178462
224.588, 0.272845, 2.657442, -1.186405
222.635, 0.239628, 2.655998, -1.202291
220.682, 0.220854, 2.654553, -1.210957
218.729, 0.183304, 2.654553, -1.229731
216.776, 0.150088, 2.654553, -1.24634
214.824, 0.124092, 2.655998, -1.260059
212.871, 0.10965, 2.657442, -1.268003
210.918, 0.087987, 2.657442, -1.278834
208.965, 0.053326, 2.655998, -1.295442
207.012, 0.017221, 2.654553, -1.312773
205.059, -0.014551, 2.658886, -1.330825
203.106, -0.033326, 2.655998, -1.338769
201.153, -0.063654, 2.657442, -1.354655
199.2, -0.080985, 2.655998, -1.362598
197.247, -0.121422, 2.655998, -1.382817
195.294, -0.148862, 2.655998, -1.396537
193.341, -0.177746, 2.655998, -1.410979
191.388, -0.192188, 2.655998, -1.4182
189.435, -0.212407, 2.655998, -1.428309
187.482, -0.252845, 2.654553, -1.447806
185.529, -0.27884, 2.655998, -1.461526
183.576, -0.320722, 2.654553, -1.481745
181.624, -0.33372, 2.655998, -1.488966
179.671, -0.366937, 2.654553, -1.504852
177.718, -0.381379, 2.654553, -1.512073
175.765, -0.426149, 2.654553, -1.534458
173.812, -0.455033, 2.653109, -1.548178
171.859, -0.483917, 2.654553, -1.563342
169.906, -0.48825, 2.66033, -1.568397
167.953, -0.504136, 2.663218, -1.577784
166, -0.541685, 2.663218, -1.596559
164.047, -0.570569, 2.667551, -1.613167
162.094, -0.602342, 2.671884, -1.63122
160.141, -0.616784, 2.673328, -1.639163
158.188, -0.641335, 2.671884, -1.650716
156.235, -0.665887, 2.667551, -1.660826
154.282, -0.70488, 2.666107, -1.6796
152.329, -0.733764, 2.664663, -1.69332
150.376, -0.765537, 2.658886, -1.706318
148.424, -0.785756, 2.66033, -1.717149
146.471, -0.80453, 2.66033, -1.726537
144.518, -0.847856, 2.655998, -1.746034
142.565, -0.879629, 2.654553, -1.761198
140.612, -0.917178, 2.654553, -1.779972
138.659, -0.930176, 2.654553, -1.786471
136.706, -0.957616, 2.653109, -1.799469
134.753, -0.983611, 2.654553, -1.813189
132.8, -1.025493, 2.653109, -1.833408
130.847, -1.057266, 2.653109, -1.849294
128.894, -1.081817, 2.653109, -1.86157
126.941, -1.102036, 2.653109, -1.871679
124.988, -1.120811, 2.653109, -1.881067
123.035, -1.162692, 2.653109, -1.902007
121.082, -1.187244, 2.653109, -1.914283
119.129, -1.223349, 2.654553, -1.933058
117.176, -1.237791, 2.653109, -1.939557
115.224, -1.262342, 2.654553, -1.952555
113.271, -1.28545, 2.654553, -1.964108
111.318, -1.324443, 2.653109, -1.982883
109.365, -1.354771, 2.653109, -1.998047
107.412, -1.379323, 2.654553, -2.011045
105.459, -1.406762, 2.653109, -2.024043
103.506, -1.418316, 2.654553, -2.030542
101.553, -1.45731, 2.653109, -2.049316
99.6, -1.483305, 2.654553, -2.063036
97.647, -1.516522, 2.654553, -2.079644
95.694, -1.530964, 2.653109, -2.086143
93.741, -1.554071, 2.654553, -2.098419
91.788, -1.585844, 2.654553, -2.114305
89.835, -1.621949, 2.653109, -2.131636
87.882, -1.655165, 2.654553, -2.148966
85.929, -1.678273, 2.653109, -2.159798
83.976, -1.702824, 2.653109, -2.172073
82.024, -1.717266, 2.654553, -2.180017
80.071, -1.750483, 2.654553, -2.196625
78.118, -1.775034, 2.654553, -2.208901
76.165, -1.811139, 2.655998, -2.227675
74.212, -1.831358, 2.657442, -2.238507
72.259, -1.848688, 2.655998, -2.24645
70.306, -1.879017, 2.653109, -2.26017
68.353, -1.912233, 2.654553, -2.2775
66.4, -1.944006, 2.653109, -2.292664
64.447, -1.971446, 2.653109, -2.306384
62.494, -1.997441, 2.654553, -2.320104
60.541, -2.013328, 2.654553, -2.328048
58.588, -2.055209, 2.653109, -2.348266
56.635, -2.078317, 2.653109, -2.35982
54.682, -2.114422, 2.653109, -2.377872
52.729, -2.13464, 2.654553, -2.388704
50.776, -2.151971, 2.653109, -2.396647
48.824, -2.183743, 2.651665, -2.411811
46.871, -2.218404, 2.653109, -2.429864
44.918, -2.253065, 2.651665, -2.446472
42.965, -2.274728, 2.651665, -2.457303
41.012, -2.300724, 2.653109, -2.471023
39.059, -2.31661, 2.650221, -2.477522
37.106, -2.355603, 2.653109, -2.498463
35.153, -2.383043, 2.650221, -2.510739
33.2, -2.413372, 2.651665, -2.526625
31.247, -2.43359, 2.651665, -2.536734
29.294, -2.448033, 2.653109, -2.544678
27.341, -2.482693, 2.651665, -2.561286
25.388, -2.51591, 2.653109, -2.578616
23.435, -2.549127, 2.651665, -2.594503
21.482, -2.566457, 2.653109, -2.60389
19.529, -2.598229, 2.651665, -2.619054
17.576, -2.612671, 2.651665, -2.626275
15.624, -2.653109, 2.651665, -2.646494
13.671, -2.677661, 2.651665, -2.65877
11.718, -2.712322, 2.651665, -2.6761
9.765, -2.733984, 2.651665, -2.686931
7.812, -2.748427, 2.653109, -2.694875
5.859, -2.77731, 2.651665, -2.708595
3.906, -2.809083, 2.651665, -2.724481
1.953, -2.835079, 2.651665, -2.737478
0, -2.850965, 2.651665, -2.745422
-1.953, -2.839411, 2.650221, -2.738923
-3.906, -2.796085, 2.653109, -2.718704
-5.859, -2.768646, 2.651665, -2.704262
-7.812, -2.733984, 2.653109, -2.687654
-9.765, -2.702212, 2.653109, -2.671767
